Name,Priority,Soft Modules (categories),Status,➰ Actions (CRUD),👤 Actors
"I must be able to specify the rate limit mode [constant,max-at,free] when creating a routine run",,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
"I must be able to edit the rate limit mode [constant,max-at,free] when at queued state",,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (queued) (Soft%20Modules%20(categories)/Routine%20Management%20(queued)%202b7c5dcbed45801aa3b3e5a811c9a1e6.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to specify whether the routine is queued or force ran after its schedule comes when creating a scheduled routine run,,"Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to pause a specific running routine,,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (running) (Soft%20Modules%20(categories)/Routine%20Management%20(running)%202b7c5dcbed4580d6a2cbc67fbe37d26b.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to cancel a specific running routine,,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (running) (Soft%20Modules%20(categories)/Routine%20Management%20(running)%202b7c5dcbed4580d6a2cbc67fbe37d26b.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to cancel all running routines based on a specific criteria ( program or host or request),,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (running) (Soft%20Modules%20(categories)/Routine%20Management%20(running)%202b7c5dcbed4580d6a2cbc67fbe37d26b.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to pause all running routines based on a specific criteria ( program or host or request),,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (running) (Soft%20Modules%20(categories)/Routine%20Management%20(running)%202b7c5dcbed4580d6a2cbc67fbe37d26b.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
"I must be able to edit the rate limit mode [constant,max-at,free] when at scheduled state",,"Routine Management (scheduled) (Soft%20Modules%20(categories)/Routine%20Management%20(scheduled)%202b7c5dcbed458033a0b3d0c6f741ef4a.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
"I must be able to edit the rate limit mode [constant,max-at,free] when at running state",,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (running) (Soft%20Modules%20(categories)/Routine%20Management%20(running)%202b7c5dcbed4580d6a2cbc67fbe37d26b.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to cancel a specific queued routine,,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (queued) (Soft%20Modules%20(categories)/Routine%20Management%20(queued)%202b7c5dcbed45801aa3b3e5a811c9a1e6.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to pause a specific queued routine,,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (queued) (Soft%20Modules%20(categories)/Routine%20Management%20(queued)%202b7c5dcbed45801aa3b3e5a811c9a1e6.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to cancel all queued routines based on a specific criteria ( program or host or request),,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (queued) (Soft%20Modules%20(categories)/Routine%20Management%20(queued)%202b7c5dcbed45801aa3b3e5a811c9a1e6.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to pause all queued routines based on a specific criteria ( program or host or request),,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (queued) (Soft%20Modules%20(categories)/Routine%20Management%20(queued)%202b7c5dcbed45801aa3b3e5a811c9a1e6.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to specify whether a force run respects rate limit or not,,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to cancel a force-run-queued routine,,"Routine Management (force-run-initiated) (Soft%20Modules%20(categories)/Routine%20Management%20(force-run-initiated)%202b7c5dcbed45803c99ccf201d1e73288.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to pause a a specific force-run-queued routine,,"Routine Management (force-run-initiated) (Soft%20Modules%20(categories)/Routine%20Management%20(force-run-initiated)%202b7c5dcbed45803c99ccf201d1e73288.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to cancel all force-run-queued routines based on a specific criteria,,"Routine Management (force-run-initiated) (Soft%20Modules%20(categories)/Routine%20Management%20(force-run-initiated)%202b7c5dcbed45803c99ccf201d1e73288.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to pause all force-run-queued routines based on a specific criteria,,"Routine Management (force-run-initiated) (Soft%20Modules%20(categories)/Routine%20Management%20(force-run-initiated)%202b7c5dcbed45803c99ccf201d1e73288.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
System must store all body properties values and all path parameters value for a unique request,,Request Management (Soft%20Modules%20(categories)/Request%20Management%202b3c5dcbed45801b8cbaf5a5c38f1b92.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
System must store all body properties values and all path parameters value for a unique request,,Burp export file import (Soft%20Modules%20(categories)/Burp%20export%20file%20import%202b3c5dcbed458053a312dc5407485ce3.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
I must be able to cancel a specific paused routine,,"Routine Management (paused) (Soft%20Modules%20(categories)/Routine%20Management%20(paused)%202b7c5dcbed45803a909bc7a6756da9c7.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to cancel all paused routines based on a specific criteria,,"Routine Management (paused) (Soft%20Modules%20(categories)/Routine%20Management%20(paused)%202b7c5dcbed45803a909bc7a6756da9c7.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
"I must be able to specify between two types of routines, long-running and direct, when creating a routine",,"Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
